module,dataset_spec,dataset,source_family
External20,task:146192,task_146192_dataset_40664,external::task:146192
External20,task:146197,task_146197_dataset_40670,external::task:146197
External20,task:167108,task_167108_dataset_40997,external::task:167108
External20,task:190138,task_190138_dataset_41919,external::task:190138
External20,task:360981,task_360981_dataset_43148,external::task:360981
External20,task:362217,task_362217_dataset_46435,external::task:362217
External20,task:362254,task_362254_dataset_46505,external::task:362254
External20,task:363147,task_363147_dataset_45968,external::task:363147
External20,task:363402,task_363402_dataset_46584,external::task:363402
External20,task:363403,task_363403_dataset_46597,external::task:363403
External20,task:363405,task_363405_dataset_46600,external::task:363405
External20,task:363459,task_363459_dataset_46762,external::task:363459
External20,task:363462,task_363462_dataset_46764,external::task:363462
External20,task:363527,task_363527_dataset_46806,external::task:363527
External20,task:363543,task_363543_dataset_46827,external::task:363543
External20,task:363558,task_363558_dataset_46851,external::task:363558
External20,task:363651,task_363651_dataset_46944,external::task:363651
External20,task:363669,task_363669_dataset_46963,external::task:363669
External20,task:363713,task_363713_dataset_46981,external::task:363713
External20,task:3937,task_3937_dataset_1100,external::task:3937
Hard20,openml:46332,openml_46332_anneal_clean,anneal
Hard20,openml:46614,openml_46614_Ecoli,ecoli
Hard20,openml:40678,openml_40678_led7,led_display
Hard20,openml:46788,openml_46788_mice,mice_protein
Hard20,openml:42530,openml_42530_Midwest_Survey,midwest_survey
Hard20,openml:42805,openml_42805_Midwest_survey,midwest_survey
Hard20,openml:46174,openml_46174_Flare,solar_flare
Hard20,openml:44668,openml_44668_GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,task::openml:44668
Hard20,openml:44743,openml_44743_shuttle_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,task::openml:44743
Hard20,openml:44778,openml_44778_KDDCup99_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,task::openml:44778
Hard20,openml:46264,openml_46264_mabbob_ela_as_2d_classify,task::openml:46264
Hard20,openml:46442,openml_46442_Success-Rates-2,task::openml:46442
Hard20,openml:46664,openml_46664_data_scientist_salary,task::openml:46664
Hard20,openml:46828,openml_46828_Cervical_Cancer_Risk_Factors,task::openml:46828
Hard20,openml:46943,openml_46943_MIC,task::openml:46943
Hard20,openml:40475,openml_40475_thyroid-allhyper,thyroid_disease
Hard20,openml:40476,openml_40476_thyroid-allhypo,thyroid_disease
Hard20,openml:40477,openml_40477_thyroid-allrep,thyroid_disease
Hard20,openml:1538,openml_1538_volcanoes-d1,volcanoes
Hard20,openml:1541,openml_1541_volcanoes-d4,volcanoes
TabICL119,openml:2,openml_2_anneal,anneal
TabICL119,openml:46332,openml_46332_anneal_clean,anneal
TabICL119,openml:1548,openml_1548_autoUniv-au4-2500,autouniv
TabICL119,openml:1549,openml_1549_autoUniv-au6-750,autouniv
TabICL119,openml:1551,openml_1551_autoUniv-au6-400,autouniv
TabICL119,openml:1552,openml_1552_autoUniv-au7-1100,autouniv
TabICL119,openml:1553,openml_1553_autoUniv-au7-700,autouniv
TabICL119,openml:1554,openml_1554_autoUniv-au7-500,autouniv
TabICL119,openml:1555,openml_1555_autoUniv-au6-1000,autouniv
TabICL119,openml:1466,openml_1466_cardiotocography,cardiotocography
TabICL119,openml:46863,openml_46863_Fetal_cardiotocography_dataset,cardiotocography
TabICL119,openml:39,openml_39_ecoli,ecoli
TabICL119,openml:40671,openml_40671_ecoli,ecoli
TabICL119,openml:46614,openml_46614_Ecoli,ecoli
TabICL119,openml:381,openml_381_ipums_la_98-small,ipums_la
TabICL119,openml:382,openml_382_ipums_la_97-small,ipums_la
TabICL119,openml:40496,openml_40496_LED-display-domain-7digit,led_display
TabICL119,openml:40677,openml_40677_led24,led_display
TabICL119,openml:40678,openml_40678_led7,led_display
TabICL119,openml:12,openml_12_mfeat-factors,mfeat
TabICL119,openml:14,openml_14_mfeat-fourier,mfeat
TabICL119,openml:16,openml_16_mfeat-karhunen,mfeat
TabICL119,openml:18,openml_18_mfeat-morphological,mfeat
TabICL119,openml:20,openml_20_mfeat-pixel,mfeat
TabICL119,openml:22,openml_22_mfeat-zernike,mfeat
TabICL119,openml:40966,openml_40966_MiceProtein,mice_protein
TabICL119,openml:46788,openml_46788_mice,mice_protein
TabICL119,openml:42530,openml_42530_Midwest_Survey,midwest_survey
TabICL119,openml:42805,openml_42805_Midwest_survey,midwest_survey
TabICL119,openml:1063,openml_1063_kc2,nasa_kc
TabICL119,openml:1065,openml_1065_kc3,nasa_kc
TabICL119,openml:1067,openml_1067_kc1,nasa_kc
TabICL119,openml:1049,openml_1049_pc4,nasa_pc
TabICL119,openml:1050,openml_1050_pc3,nasa_pc
TabICL119,openml:1068,openml_1068_pc1,nasa_pc
TabICL119,openml:1069,openml_1069_pc2,nasa_pc
TabICL119,openml:40686,openml_40686_solar-flare,solar_flare
TabICL119,openml:40687,openml_40687_solar-flare,solar_flare
TabICL119,openml:46174,openml_46174_Flare,solar_flare
TabICL119,openml:1046,openml_1046_mozilla4,task::openml:1046
TabICL119,openml:1053,openml_1053_jm1,task::openml:1053
TabICL119,openml:11,openml_11_balance-scale,task::openml:11
TabICL119,openml:1459,openml_1459_artificial-characters,task::openml:1459
TabICL119,openml:1461,openml_1461_bank-marketing,task::openml:1461
TabICL119,openml:1464,openml_1464_blood-transfusion-service-center,task::openml:1464
TabICL119,openml:1468,openml_1468_cnae-9,task::openml:1468
TabICL119,openml:1475,openml_1475_first-order-theorem-proving,task::openml:1475
TabICL119,openml:15,openml_15_breast-w,task::openml:15
TabICL119,openml:1501,openml_1501_semeion,task::openml:1501
TabICL119,openml:1508,openml_1508_user-knowledge,task::openml:1508
TabICL119,openml:1523,openml_1523_vertebra-column,task::openml:1523
TabICL119,openml:1557,openml_1557_abalone,task::openml:1557
TabICL119,openml:181,openml_181_yeast,task::openml:181
TabICL119,openml:182,openml_182_satimage,task::openml:182
TabICL119,openml:185,openml_185_baseball,task::openml:185
TabICL119,openml:188,openml_188_eucalyptus,task::openml:188
TabICL119,openml:23,openml_23_cmc,task::openml:23
TabICL119,openml:28,openml_28_optdigits,task::openml:28
TabICL119,openml:29,openml_29_credit-approval,task::openml:29
TabICL119,openml:3,openml_3_kr-vs-kp,task::openml:3
TabICL119,openml:30,openml_30_page-blocks,task::openml:30
TabICL119,openml:31,openml_31_credit-g,task::openml:31
TabICL119,openml:32,openml_32_pendigits,task::openml:32
TabICL119,openml:35,openml_35_dermatology,task::openml:35
TabICL119,openml:36,openml_36_segment,task::openml:36
TabICL119,openml:373,openml_373_UNIX_user_data,task::openml:373
TabICL119,openml:375,openml_375_JapaneseVowels,task::openml:375
TabICL119,openml:377,openml_377_synthetic_control,task::openml:377
TabICL119,openml:40663,openml_40663_calendarDOW,task::openml:40663
TabICL119,openml:40691,openml_40691_wine-quality-red,task::openml:40691
TabICL119,openml:40711,openml_40711_cleveland-nominal,task::openml:40711
TabICL119,openml:40982,openml_40982_steel-plates-fault,task::openml:40982
TabICL119,openml:43028,openml_43028_dgf_96f4164d-956d-4c1c-b161-68724eb0ccdc,task::openml:43028
TabICL119,openml:44,openml_44_spambase,task::openml:44
TabICL119,openml:44668,openml_44668_GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,task::openml:44668
TabICL119,openml:44743,openml_44743_shuttle_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,task::openml:44743
TabICL119,openml:44778,openml_44778_KDDCup99_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,task::openml:44778
TabICL119,openml:454,openml_454_analcatdata_halloffame,task::openml:454
TabICL119,openml:455,openml_455_cars,task::openml:455
TabICL119,openml:458,openml_458_analcatdata_authorship,task::openml:458
TabICL119,openml:46,openml_46_splice,task::openml:46
TabICL119,openml:460,openml_460_analcatdata_reviewer,task::openml:460
TabICL119,openml:46264,openml_46264_mabbob_ela_as_2d_classify,task::openml:46264
TabICL119,openml:46382,openml_46382_company_quality_and_valuation_finance,task::openml:46382
TabICL119,openml:46442,openml_46442_Success-Rates-2,task::openml:46442
TabICL119,openml:46525,openml_46525_Corporate_Credit_Rating_Classification,task::openml:46525
TabICL119,openml:46593,openml_46593_HCV_data,task::openml:46593
TabICL119,openml:46664,openml_46664_data_scientist_salary,task::openml:46664
TabICL119,openml:46761,openml_46761_mental_health_detection,task::openml:46761
TabICL119,openml:46828,openml_46828_Cervical_Cancer_Risk_Factors,task::openml:46828
TabICL119,openml:469,openml_469_analcatdata_dmft,task::openml:469
TabICL119,openml:46943,openml_46943_MIC,task::openml:46943
TabICL119,openml:473,openml_473_cjs,task::openml:473
TabICL119,openml:474,openml_474_analcatdata_marketing,task::openml:474
TabICL119,openml:475,openml_475_analcatdata_germangss,task::openml:475
TabICL119,openml:488,openml_488_colleges_aaup,task::openml:488
TabICL119,openml:54,openml_54_vehicle,task::openml:54
TabICL119,openml:60,openml_60_waveform-5000,task::openml:60
TabICL119,openml:679,openml_679_rmftsa_sleepdata,task::openml:679
TabICL119,openml:694,openml_694_diggle_table_a2,task::openml:694
TabICL119,openml:40474,openml_40474_thyroid-allbp,thyroid_disease
TabICL119,openml:40475,openml_40475_thyroid-allhyper,thyroid_disease
TabICL119,openml:40476,openml_40476_thyroid-allhypo,thyroid_disease
TabICL119,openml:40477,openml_40477_thyroid-allrep,thyroid_disease
TabICL119,openml:57,openml_57_hypothyroid,thyroid_disease
TabICL119,openml:1527,openml_1527_volcanoes-a1,volcanoes
TabICL119,openml:1528,openml_1528_volcanoes-a2,volcanoes
TabICL119,openml:1529,openml_1529_volcanoes-a3,volcanoes
TabICL119,openml:1530,openml_1530_volcanoes-a4,volcanoes
TabICL119,openml:1538,openml_1538_volcanoes-d1,volcanoes
TabICL119,openml:1541,openml_1541_volcanoes-d4,volcanoes
TabICL119,openml:1542,openml_1542_volcanoes-e1,volcanoes
TabICL119,openml:1543,openml_1543_volcanoes-e2,volcanoes
TabICL119,openml:1544,openml_1544_volcanoes-e3,volcanoes
TabICL119,openml:1545,openml_1545_volcanoes-e4,volcanoes
TabICL119,openml:1546,openml_1546_volcanoes-e5,volcanoes
TabICL119,openml:1497,openml_1497_wall-robot-navigation,wall_robot_navigation
TabICL119,openml:1525,openml_1525_wall-robot-navigation,wall_robot_navigation
TabICL119,openml:1526,openml_1526_wall-robot-navigation,wall_robot_navigation
